Type,Level,Sample Name,Rack,Cap # (marc's IDs),EA30_IDs ,PARK,Partner Names,Replicate,DISTANCE10,DISTANCE66,Vial Number,Na23,Mg24,Al27,K39,Ca44,V51,Cr52,Mn55,56Fe,Co59,Cu63,Zn66,As75,Se78,As75,Se78,Ag107,Cd111,Cd114,Sb121,Ba137,Ba138,Tl205,Pb208,U238
CalBlk,NA,Blank,NA,NA,NA,NA,,,NA,NA,1101,<0.000,0.000357,0.000333,<0.000,<0.000,0.006867,<0.000,0.003945,9.94E-05,<0.000,<0.000,0.031337,0.006108,<0.000,0.002399,<0.000,3.665116,0.001695,<0.000,0.002013,<0.000,<0.000,0.00358,0,0.00173
CalStd,1,Blank,NA,NA,NA,NA,,,NA,NA,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CalStd,2,ECS 50/.05,NA,NA,NA,NA,,,NA,NA,1301,70.14331,66.47477,0.640173,61.4639,50,716.2178,694.117,688.3229,67.44743,679.5688,695.1129,695.0841,648.7039,646.5994,669.9921,626.0683,500,741.0075,718.4025,663.6778,681.0238,688.7145,660.9016,664.466,658.1241
CalStd,3,ECS 500/5,NA,NA,NA,NA,,,NA,NA,1201,497.9857,498.3525,4.985983,498.8536,289.6021,4978.378,4980.588,4981.168,498.2553,4982.043,4980.489,4980.492,4985.13,4985.34,4983.001,4987.393,2001.946,4975.899,4978.16,4983.632,4981.898,4981.129,4983.91,4983.553,4984.188
Sample,NA,Blank,NA,NA,NA,NA,,,NA,NA,1101,0.185514,0.016215,0.002729,0.128836,0.012106,0.168265,0.198757,0.161416,0.020258,0.159674,0.092922,0.248788,0.463766,1.762779,0.411463,1.466645,162.378,0.189516,0.165804,0.367651,0.143157,0.207455,1.102869,0.158189,0.207514
Sample,NA,1,Monday,1,24,Marston,,,1768,970,3101,7.089641,77.55036,158.5659,34.9367,77.44368,484.1167,300.2547,3891.632,228.0716,102.73,287.4704,1172.766,65.59896,40.01176,62.92428,3.823557,432.3681,4.943767,4.752773,1.077742,1013.582,1009.169,1.283386,249.3252,9.88713
Sample,NA,2,Monday,2,27,Marston,,,1768,970,3102,3.18311,83.98065,159.8697,37.72369,76.32777,566.8285,315.3592,4084.125,242.3864,110.5503,300.5103,1190.792,74.92012,41.10794,72.42627,3.793822,116.0526,4.846638,4.695218,1.064508,983.1926,970.6674,1.110297,526.5038,16.65375
Sample,NA,3,Monday,3,28,Blaisdell,Pauline and Lucy,,591,3636,3103,7.471107,73.92181,123.1891,30.26287,75.38326,444.5774,234.9203,3362.525,210.6385,91.02699,228.7233,847.1933,39.67998,34.68942,37.46433,2.941929,11.64134,2.647424,2.571092,0.379953,758.4469,764.4895,0.933295,276.9709,19.69321
Sample,NA,4,Monday,4,31,Blaisdell,xPauline and Lucy,,591,3636,3104,10.18469,79.24249,136.1279,41.47163,79.33021,532.5213,241.1636,3522.806,244.7979,101.3522,232.1329,1011.581,44.17111,39.24194,41.73983,3.055492,2.702228,3.649666,3.525776,0.293701,1124.121,1118.632,1.166603,276.5842,19.04641
Sample,NA,5,Monday,5,36,Blaisdell,Pauline and Lucy,,591,3636,3105,10.22996,53.63194,124.028,41.1919,58.24109,414.2298,179.1035,3166.992,198.56,71.24232,211.5872,939.1176,62.28731,51.47647,59.16777,1.400582,0.483506,3.023096,2.941191,0.166855,1039.267,1036.097,1.212106,289.1998,11.26707
Sample,NA,6,Monday,6,23,Blaisdell,Pauline and Lucy,,591,3636,3106,9.882455,72.72961,113.1474,32.684,80.35794,456.0428,228.9572,3351.296,213.741,92.33368,236.053,980.4222,82.36171,34.87784,85.49965,2.907454,<0.000,3.210567,3.091894,0.340821,848.6516,819.6758,0.973625,278.9217,12.5184
Sample,NA,7,Monday,7,25,Jaeger,,,5480,2700,3107,9.336572,53.62385,142.8703,33.80759,48.12548,509.1772,239.8607,2365.441,194.1504,82.7707,180.4425,730.969,16.7153,41.04804,13.48208,1.585785,<0.000,1.890406,1.870445,0.214861,1344.794,1325.768,1.093532,73.9111,8.180814
Sample,NA,8,Monday,8,5,Marston,,,1768,970,3108,3.176761,80.86497,154.2029,38.71639,84.59093,551.9803,329.7785,4117.927,244.9854,114.0255,277.3058,1122.651,65.70847,41.80806,75.13511,3.825322,<0.000,5.891602,5.718784,0.905791,1004.831,980.0463,1.0682,334.9715,17.53054
Sample,NA,9,Monday,9,S19,Memorial Park,Santi and Emily,,2300,1939,3109,3.037595,61.36356,101.2389,28.58891,66.86735,398.1414,216.4177,2720.317,183.9221,76.72373,218.2864,1065.867,44.62498,29.82925,43.98934,2.505298,<0.000,5.335931,5.429149,1.157889,779.328,765.9251,0.869366,404.5352,13.18826
Sample,NA,10,Monday,10,2,Marston,,,1768,970,3110,8.105804,79.36806,144.2217,35.30956,81.58577,519.7094,294.8617,4215.918,242.3116,113.0461,332.8061,1843.457,67.18565,39.3384,66.58836,2.240545,<0.000,4.679627,4.509384,0.647496,944.1587,921.7231,0.972114,408.7022,10.10258
Sample,NA,11,Monday,11,32,Jaeger,,,5480,2700,3111,8.03335,50.58665,123.0963,30.93812,50.88133,398.9335,222.9218,2308.29,165.9208,71.16857,204.5481,882.6778,16.79473,28.40522,13.48001,1.615349,<0.000,2.682255,2.550895,0.127094,1256.177,1242.488,0.979638,89.07899,8.851572
Sample,NA,12,Monday,12,10,Blaisdell,Pauline and Lucy,,591,3636,3112,2.516241,65.30379,90.9144,25.26506,59.82012,334.4089,199.085,3275.764,173.0204,79.63325,227.5227,792.6391,38.85349,19.72816,41.53731,2.862487,<0.000,2.645872,2.562041,1.180582,732.4249,727.6763,0.785594,215.2488,9.926629
Sample,NA,13,Monday,13,15,Jaeger,,,5480,2700,3301,5.510183,48.56881,144.9706,28.6959,50.1528,436.2578,211.5278,2293.251,166.656,73.2303,194.7042,758.9503,15.69263,33.48508,12.83068,1.697397,<0.000,1.962405,1.918418,0.174921,1185.836,1177.355,0.946699,65.99447,8.41169
Sample,NA,14,Monday,14,47,Jaeger,,,5480,2700,3302,2.924477,80.21463,157.2531,36.86106,78.07585,568.8739,328.7523,4165.08,244.5925,114.0796,290.2956,1520.491,76.35312,39.26808,77.8366,3.637047,<0.000,6.021925,5.752269,0.997293,953.8403,950.265,1.091079,516.5194,19.5295
Sample,NA,15,Monday,15,22,Memorial Park,Santi and Emily,,2300,1939,3303,3.395268,63.33826,113.3349,29.41193,66.24032,394.4385,204.743,2736.665,180.6032,77.72944,192.3693,922.0327,36.96496,29.14187,33.1532,2.022376,<0.000,4.043151,4.154592,1.086543,822.3936,813.7515,0.87155,288.3303,12.95503
CalStd,NA,ECS 50/0.05,NA,NA,NA,NA,,,NA,NA,1301,63.173,60.50057,0.599797,60.02736,47.72237,672.2993,645.0071,654.259,64.71711,649.1382,652.2608,648.4297,610.1825,613.9374,619.3052,597.7991,472.9423,708.1764,679.4252,669.3143,649.6338,633.2745,615.7517,622.5207,610.4948
CalStd,NA,ECS 500/5,NA,NA,NA,NA,,,NA,NA,1201,531.8556,524.1805,5.114522,513.4162,302.0838,5275.584,5101.27,5145.026,515.0028,5205.034,5170.922,4985.514,5037.087,5028.846,4878.91,4835.46,1687.578,5170.711,5047.414,4967.13,5144.679,5166.382,5195.246,5130.795,5223.155
CalBlk,NA,Blank,NA,NA,NA,NA,,,NA,NA,1101,0.097872,0.01732,0.002991,0.139226,0.01229,0.174115,0,0.211443,0.025223,0.184418,<0.000,0.107428,0.325464,1.367614,0.186918,1.000661,99.54412,0.188258,0.164634,0.41466,0.174497,0.213895,0.239071,0.169319,0.238493
Sample,NA,16,Monday,16,S48,Rosa Torrez,Santi and Emily,,1392,2869,3304,4.580669,67.19998,194.7613,26.94697,66.58428,411.8641,259.1441,3300.578,188.5319,81.03671,316.2369,1486.237,54.06113,34.06991,52.6332,2.261316,282.4268,3.701463,3.563052,0.59893,832.0958,830.2218,1.110466,281.5315,9.522645
Sample,NA,17,Monday,17,S30,Memorial Park,Santi and Emily,,2300,1939,3305,3.600363,70.34723,122.5955,28.13949,68.29665,410.2107,203.4975,2786.697,184.7273,76.94947,206.7129,925.7469,35.52033,30.51954,32.63882,2.343392,115.4596,4.534247,4.575563,1.376222,709.3038,716.0682,0.799064,290.3538,14.33266
Sample,NA,18,Monday,18,8,Wheeler Park,Pauline and Lucy,,398,3830,3306,3.695064,61.21355,124.1665,26.46117,82.85428,375.261,250.5734,2794.091,168.1804,72.69174,225.526,1128.817,41.56289,28.44912,37.79498,3.375646,43.80498,4.756507,4.77036,0.792994,802.415,791.0387,0.811946,458.9904,14.29397
Sample,NA,19,Monday,19,26,Marston,,,1768,970,3307,2.885947,82.66553,169.5802,35.58037,74.69081,544.3982,314.6337,4127.427,237.6375,106.9822,262.3105,1392.519,73.99786,38.07417,70.9202,3.704465,39.48428,5.52984,5.383998,1.073413,914.3165,913.7648,0.996683,470.4675,17.18642
Sample,NA,20,Monday,20,S37,Memorial Park,Santi and Emily,,2300,1939,3308,3.419219,64.65576,121.8325,30.37805,65.2559,396.1197,214.7443,2816.865,181.2378,78.89294,276.9925,1091.839,39.4226,30.72005,39.47588,2.523971,33.48784,5.372504,5.399802,1.137902,723.2755,719.21,0.823461,539.4845,12.85664
Sample,NA,21,Monday,21,S4,Rosa Torrez,Santi and Emily,,1392,2869,3309,4.101591,54.8831,122.7525,20.90449,57.75359,333.3092,198.0437,2759.641,156.4119,69.67452,280.4995,1311.075,47.14708,24.12128,45.29541,1.670837,29.51537,3.486659,3.648663,0.834957,841.7501,831.2402,0.873612,233.5114,6.928851
Sample,NA,22,Monday,22,14,Wheeler Park,Pauline and Lucy,,398,3830,3310,3.834306,62.7923,126.9857,25.18343,80.61083,396.8727,226.7954,2928.707,170.3218,74.54557,230.902,1346.189,55.78174,29.81525,53.56592,3.135524,21.71751,4.543718,4.561536,0.878658,905.4717,897.5724,0.880075,415.7976,13.17024
Sample,NA,23,Monday,23,40,Wheeler Park,Pauline and Lucy,,398,3830,3311,3.888293,62.5959,131.4543,29.34265,72.04098,430.8955,222.2312,2949.815,183.0554,79.47438,218.2558,1055.639,60.92733,31.95582,56.95673,2.215984,32.16806,3.818015,3.875784,0.738382,853.3549,856.7657,0.93723,347.6511,12.5248
Sample,NA,24,Monday,24,AG EW S2 CP,,,,NA,NA,3312,4.285635,58.20474,136.206,30.48166,57.06833,399.5949,217.174,2696.554,185.0791,73.49264,354.3536,997.738,50.91405,34.89979,44.39447,3.558098,32.08446,4.948211,4.886281,1.903212,1036.683,1061.389,1.1874,217.6304,14.21464
Sample,NA,25,Monday,25,33,Jaeger,,,5480,2700,3401,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,NA,26,Monday,26,S35,Rosa Torrez,Santi and Emily,,1392,2869,3502,3.916953,47.604,123.3213,27.9808,57.57212,308.8996,145.38,2535.853,141.3444,56.65013,154.5736,654.3006,36.75436,27.38101,34.43616,1.11724,14.06167,2.390674,2.455495,0.768885,853.3033,848.0342,1.544893,112.2353,8.242389
Sample,NA,27,Monday,27,S49,Rosa Torrez,Santi and Emily,,1392,2869,3503,3.451033,60.46777,139.649,27.94785,59.26552,395.2893,230.7961,3537.246,180.8679,83.91968,364.417,1992.943,52.76066,33.21261,51.59687,2.719044,19.65702,4.827022,4.679235,1.131114,934.8217,919.9621,1.107295,345.05,10.2986
Sample,NA,28,Monday,28,S21,Rosa Torrez,Santi and Emily,,1392,2869,3504,3.393011,43.96179,106.5933,19.92299,52.68853,294.2155,150.9755,2352.656,130.0966,55.74385,166.5708,674.7062,43.67471,19.20394,42.83777,1.582399,10.58556,1.95027,1.942517,0.908968,755.3187,760.3179,0.835683,102.7104,7.750832
Sample,NA,29,Monday,29,34,Wheeler Park,Pauline and Lucy,,398,3830,3505,3.609844,56.60704,112.9549,20.27095,73.61141,374.8365,215.2055,2815.818,165.7619,70.33072,1277.242,1375.965,55.52096,27.69514,51.8584,3.23584,12.57826,4.957598,4.92707,0.876979,743.9574,733.9221,0.759842,450.0817,15.10869
Sample,NA,30,Tuesday,30,AG EW S3 #6 Cpark,CPark,,,NA,NA,3506,5.464554,53.71286,107.2853,24.19606,52.71371,346.1281,189.3878,2306.651,167.5593,65.53258,436.5485,1058.619,53.82406,28.86563,49.65603,4.493221,15.67538,4.656681,4.69517,0.692111,811.4673,822.6022,0.892612,248.8573,14.22621
CalBlk,1,Blank,NA,NA,NA,NA,,,NA,NA,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CalStd,2,ECS 50/0.05,NA,NA,NA,NA,,,NA,NA,1301,52.68046,54.08334,0.549717,51.41223,73.32001,575.0799,578.458,596.6989,56.10055,566.9976,587.4587,594.99,573.884,574.4517,594.3632,610.0058,1422.464,609.015,616.7195,595.2927,579.4569,583.3955,554.0076,577.4423,557.0925
CalStd,4,ECS 250/2.5,NA,NA,NA,NA,,,NA,NA,2101,237.8882,238.9859,2.396942,237.5665,242.2233,2483.279,2538.568,2486.49,244.4675,2475.189,2515.048,2496.755,2561.512,2531.151,2541.936,2530.905,2235.904,2602.267,2561.24,2548.703,2466.782,2457.197,2462.969,2495.972,2442.884
CalStd,3,ECS 500/5,NA,NA,NA,NA,,,NA,NA,1201,505.7879,505.0987,5.046557,506.0755,501.5564,5000.853,4972.87,4997.085,502.1562,5005.705,4983.73,4992.124,4961.856,4976.979,4969.596,4973.547,5039.802,4937.965,4957.708,4966.119,5008.663,5013.062,5013.115,4994.27,5022.849
CalBlk,NA,Blank,NA,NA,NA,NA,,,NA,NA,1101,0.130913,0.033189,<0.000,0.189375,0.039455,0.345862,0.475241,0.284942,0.037031,0.408075,0.413889,0.427777,0.639915,1.579775,0.644945,1.487709,303.1457,0.37778,0.378882,0.648993,0.37087,0.379393,0.408424,0.318762,0.407138
Sample,NA,31,Tuesday,31,44,NA,,,NA,NA,3507,4.730577,41.62529,94.51548,23.57448,68.9444,320.5829,167.8339,1823.41,123.25,56.87382,164.9436,576.6245,17.35575,25.05299,15.16531,2.456534,1032.049,2.011276,6.751976,0.652363,861.137,864.3116,0.911466,68.33982,7.446612
Sample,NA,32,Tuesday,32,50,La Puerta Sports Park,,,5094,830.9,3508,2.59577,53.27528,91.51685,26.59359,118.1688,298.6707,174.8989,2434.045,141.1729,61.32184,278.8293,880.3437,26.34395,28.29683,38.15803,3.541457,778.3124,4.501228,4.718892,0.935899,987.3064,1007.554,0.919818,87.98334,11.62797
Sample,NA,33,Tuesday,33,51,La Puerta Sports Park,,,5094,830.9,3509,3.659136,119.6768,193.9408,40.72303,134.3634,579.978,320.7792,5978.783,303.3014,150.7562,388.5364,1144.876,77.95733,35.8777,77.40799,1.699788,290.225,3.750732,3.953981,0.88147,1543.044,1516.792,1.447171,126.9014,10.93605
Sample,NA,34,Tuesday,34,52,La Puerta Sports Park,,,5094,830.9,3510,13.79036,119.5348,193.8487,43.29676,180.4883,597.297,324.7285,5711.885,300.1784,146.5073,609.1671,1214.578,79.29941,40.35373,76.62164,1.864151,64.53795,3.754966,3.94093,1.08357,1495.396,1519.732,1.439956,122.9289,11.92302
Sample,NA,35,Tuesday,35,53,La Puerta Sports Park,,,5094,830.9,3511,14.13402,81.93685,145.2628,35.5007,202.6292,478.4687,256.0418,3330.564,218.5696,94.13163,511.7101,1402.966,45.213,36.02527,42.60099,2.749936,52.25923,5.306807,5.424927,0.81023,1407.286,1424.008,1.314093,119.6717,15.75051
Sample,NA,36,Tuesday,36,54,La Puerta Sports Park,,,5094,830.9,3512,12.88824,78.02564,133.1614,34.31073,182.3406,438.7851,229.0146,3553.443,199.4753,89.51783,448.8049,1154.669,41.5308,30.47824,39.71488,2.233479,56.78955,4.553801,4.704329,0.856807,1159.629,1187.559,1.611777,124.9044,21.45046
Sample,NA,37,Tuesday,37,#13 Sample 1 CPark,CPark,,,NA,NA,4201,6.009741,49.26553,84.74068,26.15145,117.7407,297.8407,192.019,2491.171,153.5944,59.04243,537.0071,1242.171,60.42951,35.61368,57.84871,6.827334,141.4853,7.828324,13.44401,1.173653,1042.135,1065.526,1.020945,283.4883,24.00794
Sample,NA,38,Tuesday,38,Tin #3,Larkin Park,,5,"2,046.05",755.12,4202,4.058033,39.34969,66.44881,18.20202,62.9748,240.7876,122.7681,1736.837,114.7203,53.3752,171.694,696.2523,46.52399,15.92471,47.26632,1.381483,123.2423,2.214254,8.161811,0.974043,580.8016,577.5568,0.62829,206.6311,5.17613
Sample,NA,39,Tuesday,39,AK 12,Walker Beach,,1,"2,114.02",651.86,4203,2.07237,63.09135,118.5039,23.89273,89.71264,360.2411,214.124,2920.687,177.5426,77.49114,202.9887,779.6275,44.29039,27.57837,42.80666,2.092853,166.4603,1.853594,2.08209,1.34195,688.0196,698.8617,0.782095,229.714,9.300047
Sample,NA,40,Tuesday,40,AG EW S4 #20 Cpark,CPark,,,NA,NA,4204,3.323824,42.29794,86.53425,21.82014,78.56939,288.2658,167.24,1868.014,136.3299,54.53763,347.1277,955.4608,42.84456,29.04538,42.33806,5.075281,140.76,4.589324,4.938343,0.597856,757.9153,781.0352,0.892517,217.5216,13.64371
Sample,NA,41,Tuesday,41,AG EW S5 Cpark #38,CPark,,,NA,NA,4205,4.323424,54.58823,115.3803,23.78744,95.94198,351.9745,207.9079,2239.635,170.42,67.01268,340.391,962.885,51.46314,31.40649,51.65118,4.99178,129.9375,4.60153,4.843106,0.441553,855.3736,866.9739,0.863784,260.6453,13.28222
Sample,NA,42,Tuesday,42,41 AK,Larkin Park,,2,"2,046.05",755.12,4206,2.79116,62.42017,132.7177,27.57976,95.15539,366.5366,261.2177,3590.396,184.2979,84.84293,249.93,1300.846,48.63122,27.49572,47.65155,1.734304,137.2192,3.509997,3.815243,1.120666,899.6602,933.2729,0.887366,770.8634,8.431476
Sample,NA,43,Tuesday,43,AK 42,Walker Beach,,5,"2,114.02",651.86,4207,2.993757,66.05585,129.0959,28.18766,204.4977,412.7745,494.6494,3379.583,202.1557,97.91236,558.7868,1909.993,89.83117,81.64442,71.55658,7.21384,164.7553,22.08021,23.5467,2.371129,1589.409,1613.474,1.000576,476.6101,12.57289
Sample,NA,44,Tuesday,44,Tin 18 Ak,Walker Beach,,3,"2,114.02",651.86,4208,1.008576,27.26749,50.23358,12.13282,39.42584,164.2621,95.56064,1385.23,77.58906,34.26145,90.2791,366.8676,20.50355,12.97993,18.91577,0.832988,103.8447,0.901472,0.98795,0.425619,329.5253,339.4333,0.304378,118.3539,3.913125
CalBlk,1,Blank,NA,NA,NA,NA,,,NA,NA,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CalStd,2,ECS 50/0.05,NA,NA,NA,NA,,,NA,NA,1301,53.26435,53.81999,0.545561,54.25507,68.1606,602.4597,557.4795,586.5398,55.13064,573.61,585.5168,570.6844,564.7153,537.326,577.2713,580.8312,921.358,582.4585,579.9855,571.0066,547.6393,553.9622,519.6055,536.9257,529.3003
CalStd,4,ECS 250/2.5,NA,NA,NA,NA,,,NA,NA,2101,245.817,252.9638,2.539659,246.1339,317.9188,2573.221,2604.142,2623.336,257.0463,2579.385,2606.881,2572.898,2648.544,2504.213,2531.966,2522.72,2179.515,2570.837,2589.735,2543.281,2533.333,2526.882,2542.144,2573.191,2595.522
CalStd,3,ECS 500/5,NA,NA,NA,NA,,,NA,NA,1201,501.7651,498.1361,4.975614,501.5075,464.2245,4953.144,4942.181,4929.678,495.9638,4952.946,4938.008,4956.482,4919.256,4994.161,4976.29,4980.557,5118.107,4956.336,4947.134,4971.259,4978.569,4981.163,4976.968,4959.712,4949.309
Sample,NA,45,Tuesday,45,Tin 16 AK,Larkin Park,,1,"2,046.05",755.12,4209,0.7753,13.17857,27.87946,6.82655,21.36933,74.01647,48.56775,760.9399,40.34435,17.26556,71.11437,222.6591,10.5011,6.262255,10.0035,1.75229,304.1341,0.854807,0.908853,0.626957,165.2502,167.0176,0.325463,121.0565,1.893178
Sample,NA,46,Tuesday,46,AK 7,Larkin Park,,3,"2,046.05",755.12,4210,4.312193,148.0131,260.1733,64.24898,177.0249,725.6115,512.8353,8253.549,426.7546,197.0565,498.6716,2300.739,108.2737,52.51571,105.8653,4.455929,186.4963,7.283743,7.607675,1.851739,1783.179,1779.481,2.027779,2030.769,19.82182
Sample,NA,47,Tuesday,47,AK 1,Walker Beach,,2,"2,114.02",651.86,4211,4.54847,139.3559,229.2951,54.34339,201.7929,672.7803,455.3227,6409.718,372.469,164.6049,428.1432,3745.631,99.92977,49.13775,98.34209,4.794401,195.2338,4.402678,4.583897,2.11787,1590.024,1609.687,1.669854,564.6138,19.84625
Sample,NA,48,Tuesday,48,AK 43,Larkin Park,,4,"2,046.05",755.12,4212,2.662206,78.26278,160.1171,36.44781,92.3633,443.3476,289.0043,4390.463,233.9592,105.7835,282.2533,1213.934,58.64576,32.62806,54.38638,2.196388,169.4484,4.089397,4.260005,1.88501,984.6256,1001.631,1.093872,888.8864,10.61451
Sample,NA,49,Tuesday,49,AK 11,Walker Beach,,4,"2,114.02",651.86,4501,2.570299,70.4181,123.9736,27.42542,101.4082,376.6791,236.5407,3214.721,190.3197,85.46268,227.8189,922.1304,48.43122,26.13061,47.19168,2.313235,155.4671,2.326173,2.392581,1.479393,792.5285,803.2026,0.753568,265.7578,9.290142
Sample,NA,25,NA,NA,NA,NA,,,NA,NA,3501,,,,,,,,,,,,,,,,,,,,,,,,,